Alcohol,Malic_acid,Ash,Alcalinity_of_ash,Magnesium,Total_phenols,Flavanoids,Nonflavanoid_phenols,Proanthocyanins,Color_intensity,Hue,OD280_OD315_of_diluted_wines,Proline,class
'\'(12.17-12.55]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(22.24-24.18]\'','\'(106.8-116]\'','\'(1.85-2.14]\'','\'(1.762-2.236]\'','\'(0.289-0.342]\'','\'(1.361-1.678]\'','\'(-inf-2.452]\'','\'(0.972-1.095]\'','\'(2.908-3.181]\'','\'(-inf-418.2]\'',2
'\'(12.55-12.93]\'','\'(3.27-3.776]\'','\'(1.921-2.108]\'','\'(14.48-16.42]\'','\'(79.2-88.4]\'','\'(1.56-1.85]\'','\'(0.814-1.288]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(2.452-3.624]\'','\'(0.603-0.726]\'','\'(2.089-2.362]\'','\'(-inf-418.2]\'',2
'\'(11.79-12.17]\'','\'(3.27-3.776]\'','\'(1.921-2.108]\'','\'(18.36-20.3]\'','\'(79.2-88.4]\'','\'(1.85-2.14]\'','\'(1.288-1.762]\'','\'(0.342-0.395]\'','\'(1.678-1.995]\'','\'(-inf-2.452]\'','\'(0.849-0.972]\'','\'(2.908-3.181]\'','\'(558.4-698.6]\'',2
'\'(11.41-11.79]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.289-0.342]\'','\'(1.678-1.995]\'','\'(2.452-3.624]\'','\'(0.726-0.849]\'','\'(3.181-3.454]\'','\'(558.4-698.6]\'',2
'\'(11.41-11.79]\'','\'(1.752-2.258]\'','\'(3.043-inf)\'','\'(28.06-inf)\'','\'(116-125.2]\'','\'(3.01-3.3]\'','\'(4.606-inf)\'','\'(0.448-0.501]\'','\'(1.678-1.995]\'','\'(5.968-7.14]\'','\'(0.849-0.972]\'','\'(3.454-3.727]\'','\'(418.2-558.4]\'',2
'\'(12.17-12.55]\'','\'(4.282-4.788]\'','\'(2.669-2.856]\'','\'(26.12-28.06]\'','\'(97.6-106.8]\'','\'(2.14-2.43]\'','\'(1.762-2.236]\'','\'(0.395-0.448]\'','\'(1.678-1.995]\'','\'(-inf-2.452]\'','\'(0.849-0.972]\'','\'(2.908-3.181]\'','\'(-inf-418.2]\'',2
'\'(12.93-13.31]\'','\'(5.294-inf)\'','\'(2.108-2.295]\'','\'(20.3-22.24]\'','\'(79.2-88.4]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.289-0.342]\'','\'(1.995-2.312]\'','\'(2.452-3.624]\'','\'(0.726-0.849]\'','\'(2.908-3.181]\'','\'(-inf-418.2]\'',2
'\'(11.79-12.17]\'','\'(4.282-4.788]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(79.2-88.4]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.183-0.236]\'','\'(2.629-2.946]\'','\'(2.452-3.624]\'','\'(0.726-0.849]\'','\'(3.454-3.727]\'','\'(-inf-418.2]\'',2
'\'(11.79-12.17]\'','\'(1.752-2.258]\'','\'(2.108-2.295]\'','\'(20.3-22.24]\'','\'(79.2-88.4]\'','\'(2.43-2.72]\'','\'(2.236-2.71]\'','\'(0.342-0.395]\'','\'(1.044-1.361]\'','\'(2.452-3.624]\'','\'(0.849-0.972]\'','\'(3.181-3.454]\'','\'(-inf-418.2]\'',2
'\'(12.17-12.55]\'','\'(1.246-1.752]\'','\'(2.108-2.295]\'','\'(20.3-22.24]\'','\'(79.2-88.4]\'','\'(2.72-3.01]\'','\'(2.71-3.184]\'','\'(0.342-0.395]\'','\'(1.678-1.995]\'','\'(3.624-4.796]\'','\'(0.603-0.726]\'','\'(2.635-2.908]\'','\'(-inf-418.2]\'',2
'\'(11.41-11.79]\'','\'(1.752-2.258]\'','\'(2.669-2.856]\'','\'(28.06-inf)\'','\'(88.4-97.6]\'','\'(1.85-2.14]\'','\'(2.236-2.71]\'','\'(0.554-0.607]\'','\'(1.678-1.995]\'','\'(2.452-3.624]\'','\'(0.849-0.972]\'','\'(2.362-2.635]\'','\'(418.2-558.4]\'',2
'\'(12.17-12.55]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(24.18-26.12]\'','\'(79.2-88.4]\'','\'(2.14-2.43]\'','\'(2.236-2.71]\'','\'(0.395-0.448]\'','\'(1.678-1.995]\'','\'(-inf-2.452]\'','\'(0.849-0.972]\'','\'(2.635-2.908]\'','\'(-inf-418.2]\'',2
'\'(11.79-12.17]\'','\'(4.282-4.788]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(79.2-88.4]\'','\'(1.85-2.14]\'','\'(1.288-1.762]\'','\'(0.395-0.448]\'','\'(1.044-1.361]\'','\'(2.452-3.624]\'','\'(0.726-0.849]\'','\'(2.362-2.635]\'','\'(558.4-698.6]\'',2
'\'(12.55-12.93]\'','\'(1.246-1.752]\'','\'(2.295-2.482]\'','\'(16.42-18.36]\'','\'(116-125.2]\'','\'(1.27-1.56]\'','\'(0.814-1.288]\'','\'(0.183-0.236]\'','\'(0.727-1.044]\'','\'(3.624-4.796]\'','\'(0.726-0.849]\'','\'(-inf-1.543]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(2.764-3.27]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(1.27-1.56]\'','\'(0.814-1.288]\'','\'(0.236-0.289]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.726-0.849]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(12.55-12.93]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(22.24-24.18]\'','\'(97.6-106.8]\'','\'(-inf-1.27]\'','\'(0.814-1.288]\'','\'(0.236-0.289]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.603-0.726]\'','\'(-inf-1.543]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(3.27-3.776]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(97.6-106.8]\'','\'(1.56-1.85]\'','\'(0.814-1.288]\'','\'(-inf-0.183]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.726-0.849]\'','\'(-inf-1.543]\'','\'(558.4-698.6]\'',3
'\'(12.17-12.55]\'','\'(-inf-1.246]\'','\'(2.108-2.295]\'','\'(16.42-18.36]\'','\'(79.2-88.4]\'','\'(1.85-2.14]\'','\'(-inf-0.814]\'','\'(0.554-0.607]\'','\'(1.044-1.361]\'','\'(4.796-5.968]\'','\'(0.726-0.849]\'','\'(-inf-1.543]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(2.258-2.764]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.607-inf)\'','\'(0.727-1.044]\'','\'(5.968-7.14]\'','\'(0.726-0.849]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(12.17-12.55]\'','\'(4.282-4.788]\'','\'(2.482-2.669]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(0.727-1.044]\'','\'(3.624-4.796]\'','\'(0.726-0.849]\'','\'(-inf-1.543]\'','\'(698.6-838.8]\'',3
'\'(12.17-12.55]\'','\'(5.294-inf)\'','\'(2.482-2.669]\'','\'(24.18-26.12]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.607-inf)\'','\'(1.044-1.361]\'','\'(4.796-5.968]\'','\'(0.726-0.849]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(13.31-13.69]\'','\'(3.27-3.776]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(79.2-88.4]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.554-0.607]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.726-0.849]\'','\'(1.816-2.089]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(22.24-24.18]\'','\'(97.6-106.8]\'','\'(2.14-2.43]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(2.089-2.362]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(2.764-3.27]\'','\'(2.669-2.856]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(0.727-1.044]\'','\'(3.624-4.796]\'','\'(0.726-0.849]\'','\'(2.089-2.362]\'','\'(558.4-698.6]\'',3
'\'(13.31-13.69]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.342-0.395]\'','\'(-inf-0.727]\'','\'(4.796-5.968]\'','\'(0.603-0.726]\'','\'(2.362-2.635]\'','\'(698.6-838.8]\'',3
'\'(13.31-13.69]\'','\'(2.764-3.27]\'','\'(2.669-2.856]\'','\'(22.24-24.18]\'','\'(88.4-97.6]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.448-0.501]\'','\'(-inf-0.727]\'','\'(3.624-4.796]\'','\'(0.849-0.972]\'','\'(1.816-2.089]\'','\'(418.2-558.4]\'',3
'\'(13.31-13.69]\'','\'(4.788-5.294]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(1.85-2.14]\'','\'(-inf-0.814]\'','\'(0.448-0.501]\'','\'(0.727-1.044]\'','\'(3.624-4.796]\'','\'(0.849-0.972]\'','\'(1.816-2.089]\'','\'(418.2-558.4]\'',3
'\'(12.17-12.55]\'','\'(3.776-4.282]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(106.8-116]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.289-0.342]\'','\'(1.044-1.361]\'','\'(7.14-8.312]\'','\'(0.603-0.726]\'','\'(1.816-2.089]\'','\'(838.8-979]\'',3
'\'(12.93-13.31]\'','\'(3.27-3.776]\'','\'(2.108-2.295]\'','\'(20.3-22.24]\'','\'(97.6-106.8]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(1.044-1.361]\'','\'(3.624-4.796]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(13.69-14.07]\'','\'(4.788-5.294]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(79.2-88.4]\'','\'(-inf-1.27]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(-inf-0.727]\'','\'(4.796-5.968]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(-inf-418.2]\'',3
'\'(12.55-12.93]\'','\'(4.282-4.788]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(79.2-88.4]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.448-0.501]\'','\'(0.727-1.044]\'','\'(7.14-8.312]\'','\'(-inf-0.603]\'','\'(1.816-2.089]\'','\'(558.4-698.6]\'',3
'\'(13.31-13.69]\'','\'(2.764-3.27]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.85-2.14]\'','\'(-inf-0.814]\'','\'(0.448-0.501]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(12.93-13.31]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(106.8-116]\'','\'(1.27-1.56]\'','\'(1.288-1.762]\'','\'(0.289-0.342]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(13.31-13.69]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(22.24-24.18]\'','\'(116-125.2]\'','\'(1.27-1.56]\'','\'(1.288-1.762]\'','\'(0.183-0.236]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(12.55-12.93]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(106.8-116]\'','\'(1.27-1.56]\'','\'(1.288-1.762]\'','\'(0.236-0.289]\'','\'(1.044-1.361]\'','\'(10.656-11.828]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(12.93-13.31]\'','\'(1.752-2.258]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(106.8-116]\'','\'(2.14-2.43]\'','\'(0.814-1.288]\'','\'(0.236-0.289]\'','\'(1.361-1.678]\'','\'(5.968-7.14]\'','\'(0.603-0.726]\'','\'(-inf-1.543]\'','\'(418.2-558.4]\'',3
'\'(12.93-13.31]\'','\'(3.27-3.776]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(1.56-1.85]\'','\'(0.814-1.288]\'','\'(0.607-inf)\'','\'(1.678-1.995]\'','\'(9.484-10.656]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(1.246-1.752]\'','\'(1.921-2.108]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(1.361-1.678]\'','\'(7.14-8.312]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(12.93-13.31]\'','\'(4.788-5.294]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.607-inf)\'','\'(1.361-1.678]\'','\'(7.14-8.312]\'','\'(-inf-0.603]\'','\'(-inf-1.543]\'','\'(698.6-838.8]\'',3
'\'(13.69-14.07]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(0.814-1.288]\'','\'(0.448-0.501]\'','\'(1.361-1.678]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(12.17-12.55]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(26.12-28.06]\'','\'(88.4-97.6]\'','\'(1.85-2.14]\'','\'(-inf-0.814]\'','\'(0.607-inf)\'','\'(1.044-1.361]\'','\'(7.14-8.312]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(838.8-979]\'',3
'\'(14.07-14.45]\'','\'(1.246-1.752]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(97.6-106.8]\'','\'(2.72-3.01]\'','\'(1.288-1.762]\'','\'(0.501-0.554]\'','\'(2.629-2.946]\'','\'(11.828-inf)\'','\'(-inf-0.603]\'','\'(1.816-2.089]\'','\'(558.4-698.6]\'',3
'\'(13.31-13.69]\'','\'(1.246-1.752]\'','\'(2.482-2.669]\'','\'(22.24-24.18]\'','\'(88.4-97.6]\'','\'(2.43-2.72]\'','\'(0.814-1.288]\'','\'(0.501-0.554]\'','\'(1.995-2.312]\'','\'(10.656-11.828]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(12.17-12.55]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(79.2-88.4]\'','\'(2.14-2.43]\'','\'(0.814-1.288]\'','\'(0.448-0.501]\'','\'(0.727-1.044]\'','\'(7.14-8.312]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(13.31-13.69]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(18.36-20.3]\'','\'(106.8-116]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.448-0.501]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(1.816-2.089]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(2.764-3.27]\'','\'(2.482-2.669]\'','\'(20.3-22.24]\'','\'(97.6-106.8]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.554-0.607]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.849-0.972]\'','\'(2.089-2.362]\'','\'(558.4-698.6]\'',3
'\'(12.93-13.31]\'','\'(3.27-3.776]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(97.6-106.8]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(13.69-14.07]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(9.484-10.656]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(13.69-14.07]\'','\'(4.282-4.788]\'','\'(2.108-2.295]\'','\'(22.24-24.18]\'','\'(79.2-88.4]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(1.044-1.361]\'','\'(5.968-7.14]\'','\'(0.726-0.849]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(13.31-13.69]\'','\'(3.27-3.776]\'','\'(2.482-2.669]\'','\'(22.24-24.18]\'','\'(106.8-116]\'','\'(1.56-1.85]\'','\'(0.814-1.288]\'','\'(0.395-0.448]\'','\'(1.361-1.678]\'','\'(10.656-11.828]\'','\'(0.849-0.972]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(12.55-12.93]\'','\'(3.27-3.776]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(79.2-88.4]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(9.484-10.656]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(13.31-13.69]\'','\'(2.258-2.764]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(97.6-106.8]\'','\'(1.27-1.56]\'','\'(0.814-1.288]\'','\'(0.342-0.395]\'','\'(1.361-1.678]\'','\'(8.312-9.484]\'','\'(0.726-0.849]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(13.31-13.69]\'','\'(4.282-4.788]\'','\'(2.856-3.043]\'','\'(24.18-26.12]\'','\'(106.8-116]\'','\'(1.85-2.14]\'','\'(0.814-1.288]\'','\'(0.236-0.289]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(0.603-0.726]\'','\'(1.816-2.089]\'','\'(558.4-698.6]\'',3
'\'(12.17-12.55]\'','\'(2.764-3.27]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(-inf-1.27]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(0.727-1.044]\'','\'(4.796-5.968]\'','\'(0.603-0.726]\'','\'(1.816-2.089]\'','\'(418.2-558.4]\'',3
'\'(12.55-12.93]\'','\'(2.258-2.764]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(79.2-88.4]\'','\'(1.27-1.56]\'','\'(-inf-0.814]\'','\'(0.448-0.501]\'','\'(-inf-0.727]\'','\'(9.484-10.656]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(418.2-558.4]\'',3
'\'(14.07-14.45]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(1.044-1.361]\'','\'(9.484-10.656]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
'\'(13.69-14.07]\'','\'(5.294-inf)\'','\'(2.295-2.482]\'','\'(20.3-22.24]\'','\'(88.4-97.6]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(1.044-1.361]\'','\'(7.14-8.312]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(13.31-13.69]\'','\'(3.776-4.282]\'','\'(2.295-2.482]\'','\'(22.24-24.18]\'','\'(97.6-106.8]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(1.361-1.678]\'','\'(7.14-8.312]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(12.93-13.31]\'','\'(3.776-4.282]\'','\'(2.108-2.295]\'','\'(18.36-20.3]\'','\'(116-125.2]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.395-0.448]\'','\'(1.044-1.361]\'','\'(9.484-10.656]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(698.6-838.8]\'',3
'\'(12.93-13.31]\'','\'(2.258-2.764]\'','\'(2.295-2.482]\'','\'(18.36-20.3]\'','\'(116-125.2]\'','\'(1.56-1.85]\'','\'(-inf-0.814]\'','\'(0.501-0.554]\'','\'(1.361-1.678]\'','\'(8.312-9.484]\'','\'(-inf-0.603]\'','\'(1.543-1.816]\'','\'(838.8-979]\'',3
'\'(14.07-14.45]\'','\'(3.776-4.282]\'','\'(2.669-2.856]\'','\'(24.18-26.12]\'','\'(88.4-97.6]\'','\'(1.85-2.14]\'','\'(-inf-0.814]\'','\'(0.554-0.607]\'','\'(1.044-1.361]\'','\'(8.312-9.484]\'','\'(0.603-0.726]\'','\'(1.543-1.816]\'','\'(558.4-698.6]\'',3
